Place,Name Variant,Diocese,Institution,Office,Column_num,Reference
Mainz,"Maguntin., Moguntin.",,capel. s. Nicodemi,,114,
Mainz,"Maguntin., Moguntin.",,mon. s. Albani o. s. B. e. m.,abb.,"140, 241, 320, 388",
Mainz,"Maguntin., Moguntin.",,mon. s. Albani o. s. B. e. m.,hospitalarii,140,
Mainz,"Maguntin., Moguntin.",,mon. s. Albani o. s. B. e. m.,conv.,"140, 241, 320",
Mainz,"Maguntin., Moguntin.",,mon. s. Albani o. s. B. e. m.,vic. in eccl.,393,
Mainz,"Maguntin., Moguntin.",,mon. s. Jacobi o. s. B. e. m.,abb.,51,
Mainz,"Maguntin., Moguntin.",,mon. s. Jacobi o. s. B. e. m.,custod.,51,
Mainz,"Maguntin., Moguntin.",,mon. Veteriscelle Cist. ord.,abb. e. conv.,"49, 161",
Mainz,"Maguntin., Moguntin.",,,presb.,"40, 96, 141, 158, 160, 230, 247, 249, 254, 274, 285, 339, 343, 344, 374, 389, 390, 391, 397, 400",
Mainz,"Maguntin., Moguntin.",,,cler.,"20, 21, 22, 29, 45, 49, 55, 65, 66, 78, 88, 89, 98, 100, 105, 108, 116, 121, 128, 131, 132, 135, 141, 147, 149, 150, 157, 158, 159, 164, 192, 197, 203, 209, 218, 219, 220, 224, 230, 239, 248, 269, 273, 286, 287, 292, 294, 296, 315, 320, 343, 347, 350, 362, 372, 374, 387, 388, 389, 390, 391, 397, 400",
Mainz,"Maguntin., Moguntin.",,,monach.,"134, 355",
Mainz,"Maguntin., Moguntin.",,,scolar.,"199, 314",
Mainz,"Maguntin., Moguntin.",,,provincia,"290, 365",
Mainz,"Maguntin., Moguntin.",,dom. s. Antonii,,"16, 30, 59, 221",
Mainz,"Maguntin., Moguntin.",,,provinc. concilium,89,
Mainz,"Maguntin., Moguntin.",,,dioc.,108,
Mainz,"Maguntin., Moguntin.",,,legatus,306,
Mainz,"Maguntin., Moguntin.",,,nuntius,241,
Mainz,"Maguntin., Moguntin.",,,collector,"137, 241, 271",
Mainz,"Maguntin., Moguntin.",,,armig.,"42, 67, 335, 355",
Mainz,"Maguntin., Moguntin.",,,mil.,"67, 74, 108, 301, 355",
Mainz,"Maguntin., Moguntin.",,,baron.,95,
Mainz,"Maguntin., Moguntin.",,,domic.,"105, 359",
Mainz,"Maguntin., Moguntin.",,,opid.,"317, 376",
Mainz,"Maguntin., Moguntin.",,,laici,"167, 187, 212, 243, 288, 312",
Mainz,"Maguntin., Moguntin.",,,civit.,337,
Maiorberingen,,,,,,Gross-Behringen
Maior Enczesdorff,,,,,,Gross-Enzersdorf
Maior Jene,,,,,,Jena
Maiormanre,,,,,,Grossenmohnra
Maior Somerde,,,,,,Sömmerda
Maiortenstede,,,,,,Tennstedt
Maior Wyler (Viller),,,,,,Weiler
Malmedy,Malmundarien.,Colon. dioc.,mon. s. Petri o. s. B.,abb. et conv.,145,
Malogoschtsch,Malogoscz,Gnezn. dioc.,par. eccl.,,288,
Mals,,Curien. dioc.,par. eccl.,,99,
Mannenbach,Manebach,Const. dioc.,capel. s. Crucis,,295,
Mannsburg,Manspurg,Aquil. dioc.,par. eccl. s. Michaelis,,46,
Mannsee,,,,,,Mondsee
Manre,,,,,,Grossenmohnra
Mansfeld,Mansfelt,,,comes,"43, 69, 139",
Manswörd,Manswerd,Patav. dioc.,par. eccl.,,"15, 152, 153, 389, 401",
Manzing,Manczingen,Magunt. dioc.,par. eccl.,,104,
Marbach,Marpach,Basil. dioc.,mon. o. s. A.,abb. et conv.,272,
Marbach,Marpach,Const. dioc.,par. eccl.,,140,
Marcedum,,,,,,Merzig a. S
Marcgrussen,,,,,,Greussen
Marchdorf,,,,,,Markdorf
Marchtal,,Const. dioc.,mon. Prem. ord.,,22,
Marchtal,,Const. dioc.,mon. Prem. ord.,prep. et conv.,257,
Marclo,,,,,,Markelo
Mardorf,Maretorff,Magunt. dioc.,par. eccl.,,299,
St. Marein,Zusandmarein,Lavant. dioc.,eccl. b. Marie Virg.,,272,
St. Maria in Au,,,,,,Gries
Maria Saal,in Solio,Salzb. dioc.,eccl. b. Marie,prepos.,238,
Marienberg,Montisburgum,Curien. dioc.,mon. b. Marie o. s. B.,abb. et conv.,327,
Marienburg,,Pomezan. dioc.,capel. castri,,161,
Marienburg,,Pomezan. dioc.,,fr. dom. hosp. b. Marie Theoton.,265,
Marienstadt,Mergenstat,Colon. dioc.,mon. b. Marie Cist. ord.,abb.,327,
Marienstern,"Stellasanctemarie, Vallis-sanctemarie in Mergenstern",Misn. dioc.,mon. Cist. ord.,abbat. et conv.,"276, 318",
Marienwaard,Insula b. Marie,Traiect. dioc.,mon. Prem. ord.,,133,
Marienwaard,Insula b. Marie,Traiect. dioc.,mon. Prem. ord.,abb.,188,
Marienwalde,Marienuolt,Camin. dioc.,mon. Cist. ord.,priorissa et conv.,144,
Marienwohld,Marienwold,Razeb. dioc.,mon. b. Marie Virg. et Brigide o. s. A.,,146,
Marienwerder,,,,,,Pomesanien
Maritima,,,,provincia,227,
Mark,Marka,,,comes,130,
Pr. Mark,Marka,Gnezn. dioc.,par. eccl.,,200,
Markdorf,Marchdorf,Const. dioc.,par. eccl.,,96,
Markelo,Marclo,Traiect. dioc.,par. eccl.,,119,
Markterlbach,Markterelbach,Herbi-pol. dioc.,par. eccl.,,295,
Marpach,,,,,,Marbach
Marquartitz,,Prag. dioc.,par. eccl.,,111,
Marsal,"Marsallum, Marsellum",Meten. dioc.,eccl. s. Leodegarii,prepos.,273,
Marsal,"Marsallum, Marsellum",Meten. dioc.,eccl. s. Leodegarii,can.,"189, 215",
Marsal,"Marsallum, Marsellum",Meten. dioc.,eccl. s. Leodegarii,capit.,273,
Marville,Maruilla,Trev. dioc.,eccl. s. Hilarii e. m.,alt.,119,
Marville,Maruilla,Trev. dioc.,par. eccl.,,"8, 28",
Masmünster,Vallismasonis,Basil. dioc.,mon. s. Arbogasti o. s. B.,,78,
Masmünster,Vallismasonis,Basil. dioc.,mon. s. Arbogasti o. s. B.,abb. et conv.,237,
Masmünster,Vallismasonis,Basil. dioc.,mon. s. Arbogasti o. s. B.,monial.,272,
Masovien,Masouia,,,dux,"5, 46, 69, 244",
Massemberg b. Leoben,Messenberg,Salzb. dioc.,capel. s. Dionysii,,182,
Massenheim,Massenheym,Magunt. dioc.,,villa,396,
Maternbach,,,,,,Katernbach
Matra,,,,,,Moder
Mattsee,"Maticen., Mathicen.",Patav. dioc.,eccl. s. Michaelis,prepos.,19,
Mattsee,"Maticen., Mathicen.",Patav. dioc.,eccl. s. Michaelis,can.,339,
Mattstedt,Matztete,Magunt. dioc.,par. eccl.,,393,
Maulbronn,Mulbron,Spiren. dioc.,mon. Cist. ord.,monach.,27,
Mausdorf,Mudorff,Pomezan. dioc.,par. eccl.,,"41, 208",
Mautern,Mauttarn,Patav. dioc.,par. eccl.,,352,
Mautschatz,,Leod. dioc.,capel. s. Laurentii,,120,
Mawrkirchen,,,,,,Buchkirchen
Mayder,,,,,,Meder
Mecheln,Mechlinien.,Camerac. dioc.,,preb. de Zollaer in eccl. s. Rumoldi,45,
Medemblik,"Medeblike, Medenblick",Traiect. dioc.,par. eccl. s. Martini,,277,
Medemblik,"Medeblike, Medenblick",Traiect. dioc.,,personatus,313,
Meder,Mayder,Herbipol. dioc.,par. eccl.,,79,
Medeziumcorone,,,,,,Kronmetz
Medialu,,,,,,Mittelkirchen
Mediolanum,,,,,,Mailand
Medling,,,,,,Mödling
Meersen,Mersen,Leod. dioc.,mon. o. s. B.,prepos.,"225, 298",
Mehringen,,,,,,Möhringen
Meisau,Meissaw,Patav. dioc.,,baron.,301,
Meiselding,Meysseldeck,Gurc. dioc.,par. eccl.,,97,
Meissen,Misen.,,,ep.,"27, 28, 30, 176, 221, 271, 279, 329",
Meissen,Misen.,,eccl.,,28,
Meissen,Misen.,,eccl.,prepos.,251,
Meissen,Misen.,,eccl.,decan.,"176, 287, 344, 393",
Meissen,Misen.,,eccl.,cantor.,176,
Meissen,Misen.,,eccl.,can.,"97, 141, 142, 176, 242, 251, 303, 329, 344, 393",
Meissen,Misen.,,eccl.,capit.,"176, 279, 329, 393",
Meissen,Misen.,,eccl.,vic.,274,
Meissen,Misen.,,,presb.,276,
Meissen,Misen.,,,cler.,"27, 29, 195, 245, 276, 279, 289, 318, 391, 393, 395, 396, 399",
Meissen,Misen.,,,dioc.,"27, 390",
Meissen,Misen.,,,marchio,"12, 211, 332, 366",
Meissen,Misen.,,,mil.,"77, 149, 156",
Meissen,Misen.,,,domic.,"149, 201, 345",
Meissen,Misen.,,,civit.,27,
Melen,Mella,Leod. dioc.,par. eccl.,,121,
Melk,Mellicen.,Patav. dioc.,mon. o. s. B.,abb.,"208, 209, 224, 359, 402",
Melk,Mellicen.,Patav. dioc.,mon. o. s. B.,prepos.,208,
Melk,Mellicen.,Patav. dioc.,mon. o. s. B.,custod.,224,
Melk,Mellicen.,Patav. dioc.,mon. o. s. B.,conv.,"208, 224, 359, 402",
Mellrichstadt,Melerstat,Herbipol. dioc.,par. eccl.,,155,
Melm,? Melmshoff,Bamberg. dioc.,,decima,61,
Melnik,Melnicen.,Prag. dioc.,eccl. s. Petri,prepos.,98,
Memmingen,"Memingen, Memmyngen",August. dioc.,dom. s. Anthonii o. s. A.,,277,
Memmingen,"Memingen, Memmyngen",August. dioc.,par. eccl.,,167,
Memmingen,"Memingen, Memmyngen",August. dioc.,,civit.,138,
Mendhausen,Menthusen,Herbipol. dioc.,par. eccl.,,154,
Mengen,"Birtirkilch, Birterkilch",Const. dioc.,par. eccl.,,140,
Merczenich,,,,,,Merzenich
Mergenstat,,,,,,Marienstadt
Mergenstern,,,,,,Marienstern
Merighen,,,,,,Möhringen
Merkershausen,Merkeshusen,Herbipol. dioc.,par. eccl.,,"142, 206",
Merode,,Colon. dioc.,,dominus loci,326,
Merseburg,,,,ep. (el.),"13, 154, 271, 278, 288, 297, 362",
Merseburg,,,eccl.,decan.,16,
Merseburg,,,eccl.,can.,"16, 154, 176, 297, 315, 398",
Merseburg,,,eccl.,capit.,"278, 288",
Merseburg,,,eccl.,vic.,274,
Merseburg,,,eccl.,alt.,53,
Merseburg,,,eccl. s. Sixti,decan.,293,
Merseburg,,,,cler.,"204, 396, 398",
Mersen,,,,,,Meersen
Merzdorf,Mertinsdorf,Wratisl. dioc.,par. eccl. s. Martini,,273,
Merzenich,Merczenich,Colon. dioc.,par. eccl.,,210,
Merzig a. S,Marcedum,Trev. dioc.,,archipresbyt. ruralis,215,
Mesch,Messche,Leod. dioc.,par. eccl.,,204,
Meschede,,Colon. dioc.,ecc. s. Walburgis,prepos.,12,
Meschede,,Colon. dioc.,ecc. s. Walburgis,can.,241,
Metz,Meten.,,,ep. (el.),"42, 46, 80, 85, 152, 201, 273, 322, 336, 342, 386",
Metz,Meten.,,ecc.,decan.,"41, 219, 278",
Metz,Meten.,,ecc.,archidiacon.,"102, 283",
Metz,Meten.,,ecc.,cantor.,"184, 217, 228, 229, 335",
Metz,Meten.,,ecc.,eleemosin.,"23, 335",
Metz,Meten.,,ecc.,primiceria,"85, 152, 194",
Metz,Meten.,,ecc.,dign.,"102, 314",
Metz,Meten.,,ecc.,can.,"23, 41, 69, 85, 102, 134, 152, 180, 194, 212, 215, 217, 228, 229, 235, 252, 268, 314, 315, 316, 317, 335, 336, 398, 400",
Metz,Meten.,,ecc.,capit.,"41, 42, 46, 201, 228, 278, 342",
Metz,Meten.,,ecc.,capel. (benef.),"23, 41, 184, 336",
Metz,Meten.,,ecc.,not. curie,219,
Metz,Meten.,,ecc. b. Marie Rotunde,prepos.,"85, 194, 228, 229",
Metz,Meten.,,ecc. b. Marie Rotunde,can.,"46, 317, 336",
Metz,Meten.,,ecc. s. Saluatoris,prepos.,"278, 315, 398",
Metz,Meten.,,ecc. s. Saluatoris,dign.,314,
Metz,Meten.,,ecc. s. Saluatoris,can.,"314, 336",
Metz,Meten.,,ecc. s. Theobaldi e. m.,can.,46,
Metz,Meten.,,ecc. s. Theobaldi e. m.,capel.,199,
Metz,Meten.,,ecc. s. Elamsdis (?),can.,208,
Metz,Meten.,,,par. ecc. s. Gangulphi,"41, 46",
Metz,Meten.,,,par. ecc. s. Gorgonii,331,
Metz,Meten.,,,par. ecc. s. Hilarii,219,
Metz,Meten.,,,par. ecc. s. Maximini,212,
Metz,Meten.,,,par. ecc. s. Simplicii,"23, 101",
Metz,Meten.,,,par. ecc. s. Victoris,"179, 229",
Metz,Meten.,,capel. s. Galli,,229,
Metz,Meten.,,capel. noue ecc. s. Johannis,,184,
Metz,Meten.,,capel. b. Marie in domo Petri de Pairgin resp. Johannis de Velonia,,"184, 212",
Metz,Meten.,,mon. s. Arnulphi o. s. B. e. m.,abb.,"191, 283",
Metz,Meten.,,mon. s. Arnulphi o. s. B. e. m.,conv.,283,
Metz,Meten.,,mon. s. Simphoriani o. s. B. e. m.,monach.,212,
Metz,Meten.,,mon. s. Vincentii o. s. B.,,259,
Metz,Meten.,,mon. s. Vincentii o. s. B.,abb. et conv.,184,
Metz,Meten.,,,presb.,"80, 204",
Metz,Meten.,,,cler.,"41, 42, 46, 87, 183, 184, 194, 202, 206, 210, 235, 320",
Metz,Meten.,,,mil.,"183, 184, 205, 283",
Metz,Meten.,,,domic.,203,
Metz,Meten.,,,opid.,"106, 205, 212, 283",
Metz,Meten.,,,laici,273,
Messenberg,,,,,,Massenberg
Meyenburg,Meynborch,Bremen. dioc.,,castrum et capel.,253,
Meysseldeck,,,,,,Meiselding
St. Michel a. d. Etsch,de Sanctomichaele,Trident. dioc.,mon. s. Michaelis o. s. A.,,279,
Michelbach,,Herbipol. dioc.,par. eccl.,,86,
Middelburg,,Traiect. dioc.,capel. in par. eccl. in Westmunster,,218,
Middelburg,,Traiect. dioc.,mon. b. Marie Prem. ord.,,279,
Middelburg,,Traiect. dioc.,mon. b. Marie Prem. ord.,abb.,"62, 279",
Middelburg,,Traiect. dioc.,mon. b. Marie Prem. ord.,conv.,62,
Midlucze,,? Traiect. dioc.,par. eccl.,,178,
St. Mihel,de Sanctomichaele,Virdun. dioc.,par. eccl. s. Michaelis.,,101,
Mileonowe,,? Gnezn. dioc.,par. eccl.,,79,
Miltenberg,,,,,,Bürgstadt
Minchroth,,,,,,Roth
Minden,,,,ep.,"56, 57, 217, 342, 376",
Minden,,,eccl.,decan.,"12, 23, 57, 349",
Minden,,,eccl.,scholast.,174,
Minden,,,eccl.,thesaurar.,18,
Minden,,,eccl.,can.,"12, 18, 57, 174, 200, 214, 349",
Minden,,,eccl.,capit.,"56, 57, 217",
Minden,,,eccl.,vic.,"44, 56, 76, 200",
Minden,,,eccl.,capel.,200,
Minden,,,eccl. s. Martini,prepos.,56,
Minden,,,eccl. s. Martini,decan.,200,
Minden,,,eccl. s. Martini,can.,"56, 96, 192, 200, 391",
Minden,,,eccl. s. Martini,capit.,56,
Minden,,,capel. s. Margarete,,174,
Minden,,,,archidiacon.,23,
Minden,,,,presb.,"76, 171, 391",
Minden,,,,cler.,"23, 44, 107, 131, 162, 231, 247, 250, 265, 282, 346, 347, 389, 394",
Minden,,,,collector,135,
Minden,,,,schol.,202,
Minden,,,,armig.,257,
Minden,,,,laici,75,
Minorfreschelingen,,,,,,Klein-Fischlingen
Minor Lafferde,,,,,,Klein-Lafferde
Mintzenberg,,,,,,Drais
Mirisdorf,Miresmestorpe,Raseb. dioc.,par. eccl.,,177,
Miserach b. Pruntrut,Miserez b. Porrentruy; Miserium prope Pourramtrum (Pourramtin),Basil. dioc.,,priorat. o. s. A.,"194, 370",
Misnen.,,,,,,Meissen
Missanen,,,,ep.,195,
Mittelbuchen,Mitlilbuchen,Magunt. dioc.,par. eccl.,,327,
Mittelkirchen,Mediau,Verden. dioc.,par. eccl.,,40,
Mockstadt,Moxstad,Magunt. dioc.,eccl. s. Martini,scolast.,248,
Moder,Matra,Argent. dioc.,,flumen,179,
Moderstorpe,Modestorpe,Verden. dioc.,,archidiacon.,"84, 270",
Mödling,Medling,Patav. dioc.,par. eccl.,,151,
Möhringen,"Mehringen, Meringhen",Const. dioc.,,curia celerarie,329,
Moguntin.,,,,,,Mainz
Mohnaü,,,,,,Gross-Mohnau
Mohnra,,,,,,Grossen Mohnra
Molhusen,,,,,,Mühlhausen
Monacen.,,,,,,München
Mölln,Molne,Rzeb. dioc.,par. eccl.,,390,
Mölsenheim,Mulsenheim,Herbipol. dioc.,par. eccl.,,167,
Molzbichl,"Moltzpuhel, Moltichiel",Salzb. dioc.,par. eccl.,,110,
Monasterien.,,,,,,Münster
Monasteriumclericorum,,,,,,Pfaffmünster
Monasteriumeyfflie,,,,,,Münstereiffel
Monasteriummeynfelt,,,,,,Münstermaifeld
Mondsee,Mannsee,Patav. dioc.,mon. o. s. B.,abb.,50,
Monopoli,Monopolitan.,,dom. hosp. s. Stephani,,181,
Monsboldensberg,,,,,,Boltesberg
Mons Jouis,,,,,,St. Bernhard
Monsmadran.,,,,,,Madron
Monsanctipetri,,,,,,Petersberg
Monsterkirken,,,,,,Münsterkirchen
Monten.,,,,,,Berg
Montisburgum,,,,,,Marienberg
Moos,Mosacen.,Aquil. dioc.,mon. s. Galli o. s. B.,commen-dator,24,
Moosburg,Mospurg,Frising. dioc.,eccl. s. Castoli,prepos.,170,
Moosburg,Mospurg,Frising. dioc.,eccl. s. Castoli,can.,91,
Morinen.,,,,,,Terouane
St. Moritz,Agauen.,Sedun. dioc.,mon. s. Mauritii o. s. A.,prepos.,242,
St. Moritz,Agauen.,Sedun. dioc.,mon. s. Mauritii o. s. A.,can.,242,
Morschheim,,,,,,Sion
Mosacen.,,,,,,Moos
Mosbach,Mospach,Herbipol. dioc.,eccl.,prepos.,123,
Mospurg,,,,,,Moosburg
Moxstad,,,,,,Mockstadt
Muffenheim,,Argent. dioc.,,villa,"64, 333",
Mühlhausen,Molhusen.,Magunt. dioc.,eccl. b. Marie Pontis,can.,156,
Mühlhausen,Molhusen.,Magunt. dioc.,par. eccl. s. Johannis e. m.,,"53, 225",
Mulbron,,,,,,Maulbronn
Mulsenheim,,,,,,Mölsenheim
Munasterien.,,,,,,Münster
München,Monacen.,Frising. dioc.,par. eccl. s. Petri,,"376, 377",
München,Monacen.,Frising. dioc.,,decan. ruralis,376,
München,Monacen.,Frising. dioc.,,civit.,138,
Münchsmünster,Munster,Ratisp. dioc.,par. eccl. b. Marie Virg.,,280,
Münchweiler,Munuchwiler,Magunt. dioc.,par. eccl.,,292,
Mündraching,Mundrichingen,Ratisp. dioc.,par. eccl.,,53,
Münichreith,Munichrawt,Patav. dioc.,par. eccl.,,213,
Münchroet,,,,,,Roth
Münster,"Monasterien., Munasterien.",,,ep.,"109, 167, 214, 252, 258, 265, 280, 299, 345, 350",
Münster,"Monasterien., Munasterien.",,,vic. gen.,"252, 265",
Münster,"Monasterien., Munasterien.",,eccl.,prepos.,"15, 228",
Münster,"Monasterien., Munasterien.",,eccl.,decan.,"15, 236, 345",
Münster,"Monasterien., Munasterien.",,eccl.,can.,"15, 65, 95, 134, 236, 374",
Münster,"Monasterien., Munasterien.",,eccl.,capit.,"14, 109, 214, 258, 345, 350",
Münster,"Monasterien., Munasterien.",,eccl.,vic.,"15, 23, 134, 166, 236, 246",
Münster,"Monasterien., Munasterien.",,eccl.,capel.,"246, 263",
Münster,"Monasterien., Munasterien.",,eccl. s. Ludgeri,decan.,279,
Münster,"Monasterien., Munasterien.",,eccl. s. Ludgeri,scholast.,166,
Münster,"Monasterien., Munasterien.",,eccl. s. Ludgeri,thesaurar.,136,
Münster,"Monasterien., Munasterien.",,eccl. s. Ludgeri,can.,"136, 166, 299",
Münster,"Monasterien., Munasterien.",,eccl. s. Ludgeri,capit.,279,
Münster,"Monasterien., Munasterien.",,eccl. s. Martini,decan.,279,
Münster,"Monasterien., Munasterien.",,eccl. s. Martini,can.,"236, 263, 299",
Münster,"Monasterien., Munasterien.",,eccl. s. Martini,capit.,279,
Münster,"Monasterien., Munasterien.",,eccl. s. Mauritii e. m.,prepos.,"65, 246, 263",
Münster,"Monasterien., Munasterien.",,eccl. s. Mauritii e. m.,decan.,"263, 279, 280",
Münster,"Monasterien., Munasterien.",,eccl. s. Mauritii e. m.,dign.,15,
Münster,"Monasterien., Munasterien.",,eccl. s. Mauritii e. m.,can.,"15, 172, 213, 246, 264, 280, 299, 345",
Münster,"Monasterien., Munasterien.",,eccl. s. Mauritii e. m.,capit.,"263, 279, 280",
Münster,"Monasterien., Munasterien.",,eccl. Veteriseclesie s. Pauli,decan.,279,
Münster,"Monasterien., Munasterien.",,eccl. Veteriseclesie s. Pauli,can.,"172, 279",
Münster,"Monasterien., Munasterien.",,eccl. Veteriseclesie s. Pauli,capit.,279,
Münster,"Monasterien., Munasterien.",,eccl. Veteriseclesie s. Pauli,vic.,345,
Münster,"Monasterien., Munasterien.",,par. eccl. s. Egidii,,280,
Münster,"Monasterien., Munasterien.",,par. eccl. s. Lamberti,,"263, 280",
Münster,"Monasterien., Munasterien.",,par. eccl. s. Seruati,,280,
Münster,"Monasterien., Munasterien.",,mon. s. Marie Transaquas o. s. B.,abbat. et conv.,136,
Münster,"Monasterien., Munasterien.",,,presb.,"100, 252, 254, 265, 350",
Münster,"Monasterien., Munasterien.",,,cler.,"30, 105, 136, 143, 166, 172, 263, 265, 269, 279, 350, 374, 392, 399",
Münster,"Monasterien., Munasterien.",,,offic.,280,
Münster,"Monasterien., Munasterien.",,,collector,135,
Münster,"Monasterien., Munasterien.",,,scolar.,65,
Münster,"Monasterien., Munasterien.",,,dioc.,140,
Münster,"Monasterien., Munasterien.",,,domic.,"169, 253",
Münster,"Monasterien., Munasterien.",,,opid.,"106, 109, 130, 263",
Münster,"Monasterien., Munasterien.",,,laici,"77, 104",
Munster,,Verden. dioc.,par. eccl.,,235,
Munster,,,,,,Münchsmünster
Münsterbilsen,Blisien.,Leod. dioc.,mon. s. Amoris o. s. B.,abb. et conv.,256,
Münstereifel,Monasteriumeyfflie,Colon. dioc.,eccl. ss. Crisanti et Darie,can.,"18, 148, 152, 169, 198",
Münsterkirchen,Monsterkirken,Magunt. dioc.,par. eccl.,,45,
Münstermaifeld,Monasteriummeynfelt,Trev. dioc.,eccl.,can.,63,
Müntz,Muntz,Colon. dioc.,par. eccl.,,362,
Munuchwiler,,,,,,Münchweiler
Münzenberg,,,,,,Drais
Muri,Mure,Const. dioc.,mon. o. s. B.,,280,
Murrhart,Murhart,Herbipol. dioc.,mon. o. s. B.,abb.,91,
Murse,,,,,,Moers
Musberg,,,,,,Ansperg
Musdorff,,,,,,Mausdorf
Namur,Namurcen.,Leod. dioc.,abbatia b. Marie,,7,
Nassau,Nassaw,,,comes,"38, 321",
Nassenfuss,Nazzenuos,Aquil. dioc.,par. eccl. s. Ruperti,,170,
Naturen.,,,,,,Athyra
Naumburg,Nuembergen.,,,ep. (el.),"13, 129, 297",
Naumburg,Nuembergen.,,eccl.,prepos.,301,
Naumburg,Nuembergen.,,eccl.,decan.,"315, 371",
Naumburg,Nuembergen.,,eccl.,scolast.,221,
Naumburg,Nuembergen.,,eccl.,dign.,398,
Naumburg,Nuembergen.,,eccl.,can.,"97, 99, 154, 175, 221, 297, 315, 316, 329, 398",
Naumburg,Nuembergen.,,eccl.,capit.,"13, 297",
Naumburg,Nuembergen.,,eccl.,vic.,"16, 147, 274, 386",
Naumburg,Nuembergen.,,par. eccl. s. Odmari e. m.,,288,
Naumburg,Nuembergen.,,,presb.,221,
Naumburg,Nuembergen.,,,cler.,"202, 272, 288, 346",
Naumburg,Nuembergen.,,,armig.,"139, 345",
Neapel,Neapoli,,,. dom. hosp. s. Johannis Jerosol.,101,
Nebbio,Nebien,,,. ep.,317,
Negau,Negaw,Salzb. dioc.,par. eccl. b. Marie,,280,
Neisse,Nyssa,Wratisl. dioc.,par. eccl. s. Jacobi,,"50, 113, 295",
Neisse,Nyssa,Wratisl. dioc.,,fraternitas b. Marie,295,
Neisse,Nyssa,Wratisl. dioc.,,civit.,295,
Nemzin,,,,,,Nimbschen
Nesselröden,Netelreden,Magunt. dioc.,par. eccl.,,168,
Nesselwang,Nesselwange,August. dioc.,par. eccl. s. Andreæ,,280,
Neubrandenburg,Nouumbrandeborgh,Havelb. dioc.,par. eccl. b. Marie,,157,
Neuburg,Nuemburg.,August. dioc.,mon. b. Marie o. s. A.,prepos.,360,
Neuburg,,,,,,Klosterneuburg
Neuenburg,"Nouumcastrum, Neumburgh",Const. dioc.,par. eccl.,,162,
Neuenburg,"Nouumcastrum, Neumburgh",Const. dioc.,,"civit., opid.","162, 217, 250, 358",
Neuendorf,Nuendorff,Halberst. dioc.,mon. Prem. ord. (!),"prep., abbat. et conv.","120, 387",
Neuen-Heerse,Herisien.,Padeb. dioc.,par. eccl.,,"330, 390",
Neuen-Heerse,Herisien.,Padeb. dioc.,abbatia,,37,
Neuenstadt,Nouauilla,Lausan. dioc.,par. eccl. s. Ursicini sub castro Glossenberg,,"14, 145",
Neuhaus,Newhaus,Ratisp. dioc.,,castrum,111,
Neukirchen,Nyenkerken,Bremen. dioc.,par. eccl.,,323,
Neukirchen,Newnkirchen,Frising. dioc.,par. eccl.,,363,
Neumagen,Nouimagen.,Colon. dioc.,par. eccl. s. Stephani,,"38, 253, 371",
Neumagen,Nouimagen.,Colon. dioc.,mon. o. s. A. e. m.,prior et conv.,297,
Neumburgh,,,,,,Neuenburg
Neunkirchen,Nunkirchen,Magunt. dioc.,par. eccl.,,292,
Neunkirchen b. Weiden,Newnkirchen al. in Weyden,Ratisp. dioc.,par. eccl.,,274,
Neuss,"Nussien.,ussia",Colon. dioc.,mon. o. s. B.,abb. et conv.,312,
Neuss,"Nussien.,ussia",Colon. dioc.,mon. o. s. B.,rector (can.) eccl.,77,
Neuss,"Nussien.,ussia",Colon. dioc.,mon. o. s. A.,prep. et conv.,297,
Neuss,"Nussien.,ussia",Colon. dioc.,mon. o. s. A.,monach.,267,
Neuss,"Nussien.,ussia",Colon. dioc.,hosp. paup.,,312,
Neustadt a. D,Nigenstat,Brandeb. dioc.,par. eccl.,,238,
Neustadt,Nygenstad,Lubic. dioc.,par. eccl.,,100,
Neustadt,Nouacuiitas,Salzb. dioc.,par. eccl. b. Marie,,"141, 142, 297",
Neustadt,Nouacuiitas,Salzb. dioc.,par. eccl. s. Vdalrici,,"80, 112",
Neustift,Nouacella,Brixin. dioc.,mon. o. s. A.,,126,
Neuweiler,Nouillaren.,Argent. dioc.,mon. s. Petri o. s. B.,,297,
Neuweiler,Nouillaren.,Argent. dioc.,mon. s. Petri o. s. B.,abb.,199,
Neuweiler,Nouillaren.,Argent. dioc.,mon. s. Petri o. s. B.,camerar.,199,
Neuweiler,Nouillaren.,Argent. dioc.,mon. s. Petri o. s. B.,monach.,199,
Newhus,,,,,,Neuhaus
"Newnburg, Newnburgaclustralis",,,,,,Klosterneuburg
Newnkirchen,,,,,,Neunkirchen
Nicopolis,,,,ep.,177,
Nidrosien.,,,,,,Drontheim
"Niderratenaw, Nidderraitenow",,,,,,Unter-Reitnau
Niederaltaich,"Inferioralt[h]a, Inferioraltach[en]",Patav. dioc.,mon. o. s. B.,,187,
Niederaltaich,"Inferioralt[h]a, Inferioraltach[en]",Patav. dioc.,mon. o. s. B.,abb.,"53, 206, 385",
Niederaltaich,"Inferioralt[h]a, Inferioraltach[en]",Patav. dioc.,mon. o. s. B.,conv.,206,
Nieder-Bayern,,,,,,Bayern
Nieder-Ehnheim,Ehenheim inferior,Argent. dioc.,capel. s. Barbare,,92,
Niederhone,Niddernhoende,Magunt. dioc.,capel.,,243,
Nieder-Ingelheim,Inferioringelnheim,Magunt. dioc.,mon. Auleregie o. s. A.,,188,
Nieder-Ingelheim,Inferioringelnheim,Magunt. dioc.,,scultetus,188,
